Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file KERNEL32.DLL

File Type: DLL

  Section contains the following exports for KERNEL32.dll

    00000000 characteristics
    2C4857D3 time date stamp Sat Jul 17 15:49:39 1993
        0.00 version
           1 ordinal base
         543 number of functions
         543 number of names

    ordinal hint RVA      name

        471  1D6 0001E8D0 UpdateResourceA
        472  1D7 0001E790 UpdateResourceW
        473  1D8 00036CD0 VDMConsoleOperation
        474  1D9 0001C580 VDMOperationStarted
        475  1DA 0002AE50 ValidateLCID
        476  1DB 000341F0 VerLanguageNameA
        477  1DC 00034190 VerLanguageNameW
        478  1DD 00027F90 VerifyConsoleIoHandle
        479  1DE 0000E420 VirtualAlloc
        480  1DF 000105E0 VirtualBufferExceptionHandler
        481  1E0 0000E4E0 VirtualFree
        482  1E1 0000E5F0 VirtualLock
        483  1E2 0000E530 VirtualProtect
        484  1E3 0000E550 VirtualProtectEx
        485  1E4 0000E590 VirtualQuery
        486  1E5 0000E5B0 VirtualQueryEx
        487  1E6 0000E630 VirtualUnlock
        488  1E7 0001C0C0 WaitCommEvent
        489  1E8 00004040 WaitForDebugEvent
        490  1E9 0001A2A0 WaitForMultipleObjects
        491  1EA 0001A2C0 WaitForMultipleObjectsEx
        492  1EB 0001A1D0 WaitForSingleObject
        493  1EC 0001A1F0 WaitForSingleObjectEx
        494  1ED 00013490 WaitNamedPipeA
        495  1EE 000134F0 WaitNamedPipeW
        496  1EF 00031D40 WideCharToMultiByte
        497  1F0 00017F60 WinExec
        498  1F1 00027E10 WriteConsoleA
        499  1F2 0002C2E0 WriteConsoleInputA
        500  1F3 0002BF40 WriteConsoleInputVDMA
        501  1F4 0002BF60 WriteConsoleInputVDMW
        502  1F5 0002C300 WriteConsoleInputW
        503  1F6 0002CA20 WriteConsoleOutputA
        504  1F7 0002CE10 WriteConsoleOutputAttribute
        505  1F8 0002CDB0 WriteConsoleOutputCharacterA
        506  1F9 0002CDE0 WriteConsoleOutputCharacterW
        507  1FA 0002C9F0 WriteConsoleOutputW
        508  1FB 00027E30 WriteConsoleW
        509  1FC 0000A570 WriteFile
        510  1FD 0000B000 WriteFileEx
        511  1FE 000064A0 WritePrivateProfileSectionA
